Lyricist,Individual's Song ID,Verse,Label
Abdul Alim,song1,আর কতকাল ভাসবো আমি দুঃখের সারী গাইয়া জনম গেল ঘাটে ঘাটে আমার জনম গেল ঘাটে ঘাটে ভাঙা তরী বাইয়া রে আমার ভাঙ্গা তরী বাইয়া।।,2
Abdul Alim,song1,পরের বোঝা বইয়া বইয়া নৌকার গলুই গেছে খইয়ারে। আমার নিজের বোঝা কে বলিবে রে। রাখবো কোথায় যাওয়ারে আমি রাখবো কোথায় যাওয়া।।,2
Abdul Alim,song1,এই জীবনে দেখলাম নদীর কতই ভাঙা গড়া আমার দেহতরী ভাঙলো শুধু না জাগিলো চড়া,2
Abdul Alim,song1,আমার ভবে কেউ কি আছে দুঃখ কবো তাহার কাছে রে আমি রইলাম শুধু দয়াল আল্লাহ রে আমি রইলাম শুধু দয়াল আল্লাহ তোমার পানে চাইয়া রে আমি তোমার পানে চাইয়া।।,3
Abdul Alim,song2,সেই ঘরখানা যার জমিদারি আমি পাইনা তাহার হুকুমদারী আমি পাইনা জমিদারের দেখা ।। মনের দুঃখ কারে কই।।,2
Abdul Alim,song2,জমিদারের ইচ্ছামত দেই না জমি চাষ তাইতো ফসল ফলে না রে দুঃখ বারো মাস।।,2
Abdul Alim,song2,আমি খাজনাপাতি সবই দিলাম তবু জমিন আমার হয় যে নীলাম ।। আমি চলি যে তার মন জোগাইয়া দাখিলায় মেলে না সই।।,2
Abdul Hai Al Hadi,song1,তোমাকে মানায় ভাল যখন তুমি লজ্জা রাঙ্গা আবির মেখে সাজো গোধুলির আবরণে নতুন নতুন সুরের ছোয়া আমার প্রাণে বাজো।।,1
Abdul Hai Al Hadi,song1,তোমার ঐ লাজুক আখি পদ্মকলি নিরবে সকল কথা যায় গো বলি।,1
Abdul Hai Al Hadi,song1,সুনীল ঐ আকাশ বুঝি সন্ধ্যা সাঝে হারানো দিনের কিছু কথার মাঝে। খুজে পাই তোমার মত লজ্জা এখন পাই নি ভেবে আজো গোধুলির আবরণে নতুন নতুন সুরের ছোয়া আমার প্রাণে বাজো।।,1
Abdul Hai Al Hadi,song2,কোনবা দোষে আইলো পীড়িত আমার অন্তরে সব কিছু হায় উলটে গেল তারই মন্তরে আমার কি হইলে কি হইয়া গেল আমার কি হইলে কি হইয়া গেল গো,1
Abdul Hai Al Hadi,song2,তুষের আগুন বুকে শুধু জ্বলে বন্ধুরা যে পাগল আমায় বলে দিনের বেলায় দেখি চাঁদের আলো কোন কিছুই লাগে না যে ভাল আমার কি হইলে কি হইয়া গেল আমার কি হইলে কি হইয়া গেল গো।।,1
Abdul Hai Al Hadi,song2,নীবর ক্ষণে শুধুই আমি ভাবি হারালো কী আমার মনের চাবি জ্যোছনা রাতে মনটা শুধু কাঁদে পা বাড়ালাম এ কোন নতুন ফাঁদে আমার কি হইলে কি হইয়া গেল আমার কি হইলে কি হইয়া গেল গো,1
Abdul Hai Al Hadi,song3,যদি মনেরই দাম দিয়ে মনটাই না মেলে এ খেলা খেলে বলো কি হবে যদি পুজারী ফিরে যায় প্রেম না পেয়ে তবে মন্দিরে গিয়ে কি হবে।।,2
Abdul Hai Al Hadi,song3,কি হবে সুর সেধে আপন মনে কি হবে গান গেয়ে বলো একলা কি হবে সুখের লাগি স্বপন দেখে এমনি করেই কী যাবে বেলা,2
Abdul Hai Al Hadi,song3,ভালবাসার আগুনে না পুড়িলে হায় ভালবেসে বলো কি হবে।।,1
Abdul Hai Al Hadi,song3,কি হবে শূণ্য ঘরে প্রদীপ জ্বেলে কি হবে সাজিয়ে আজ এ বাসর কি হবে ছেড়া পালে তরী বেয়ে কি হবে পাড়ি দিয়ে অথৈ সাগর,2
Abdul Hai Al Hadi,song3,যদি জীবন প্রদীপ মোর নিভে যার অবেলায় কেঁদে কেঁদে বলো কি হবে।।,2
Abdul Hai Al Hadi,song4,আর কোনদিন তোমায় আমি প্রিয় নামে ডাকবো না।।,2
Abdul Hai Al Hadi,song4,আর কখনো তোমায় আমি আপন করে ভাববো না প্রিয় নামে ডাকবো না।।,2
Abdul Hai Al Hadi,song4,ভাববো না আর কথা তোমার মাটির প্রদীপ জ্বলিয়ে আবার,2
Abdul Hai Al Hadi,song4,প্রেমের চিঠি এই জীবনে। আর কখনো লিখবো না প্রিয় নামে ডাকবো না।।,1
Abdul Hai Al Hadi,song4,ভাববো তুমি স্বপন ছিলে ঘুমের ঘোরে এসেছিলে,1
Abdul Hai Al Hadi,song4,স্বপ্ন সফল হায় না জানি। স্বপ্ন আমি দেখবো না প্রিয় নামে ডাকবো না।।,2
Abdul Hai Al Hadi,song4,শেষ দেখা আজ মনে রেখো মোর সমাধি তরী দেখো,2
Abdul Hai Al Hadi,song4,চরণ ফেলে যেও না চলে। আর আমি যে কাঁদবো না প্রিয় নামে ডাকবো না।।,3
Abdul Hai Al Hadi,song5,আমি আর কারো ভালোবাসা চাই না সব কথা ভোলা যায় প্রথম প্রেমের কথা ভোলা যায় না।।,1
Abdul Hai Al Hadi,song5,তোমারই দেয়া ফুল শুকিয়ে গেছে স্মৃতিরা মরেনি আজও তেমনি আছে।,2
Abdul Hai Al Hadi,song5,চাঁদ জাগা রাত আসে তুমি শুধু আর কাছে আস না আমি আর কারো ভালোবাসা চাই না।।,2
Abdul Hai Al Hadi,song5,আমার ব্যথাগুলো আমারই থাক অশ্রুতে দুটি চোখ যায় ভরে যাক।,2
Abdul Hai Al Hadi,song5,সেই স্মৃতি বুকে নিয়ে আমাকে সুখী হতে দাও না আমি আর কারো ভালোবাসা চাইনা।।,2
Abdul Hai Al Hadi,song6,ও গো বিদেশিনী তোমার চেরীফুল দাও আমার শিউলী নাও দুজনে প্রেমে হই ঋণী।।,1
Abdul Hai Al Hadi,song6,লা লা লা লা……. দুটি মনের একটি আশা তারই নাম ভালবাসা কেন বুঝ না ওগো নীলনয়না তুমি আমার মনোহারিনী।।,1
Abdul Hai Al Hadi,song6,কিছুদিনের একটু স্মৃতি অনুরাগ অনুভুতি। ভুলে যেও না ওগো মৌ ললনা অভিসারের এই কাহিনী।।,3
Abdul Hai Al Hadi,song7,এক হৃদয়হীনার কাছে হৃদয়ের দাম কী আছে সে আছে নিজকে নিয়ে আমি তো আপন দোষে পেলাম শুধু অথৈ যন্ত্রণা।।,2
Abdul Hai Al Hadi,song7,সে তো যাবে চলে সবই যাবে ভুলে নিঠুর সে সজনী আমি যাব কেঁদে তারেই সেধে সেধে জেগে শুধু রজনী নীরবে নীরবে।।,2
Abdul Hai Al Hadi,song7,হৃদয় দেয়া ছলে হৃদয় গেছে দলে আমি তো মরেছি পাথর ভালোবেসে চোখে অবশেষে নদীকে ধরেছি মরেছি মরমে।।,2
Abdul Latif,song1,"বৃটিশ গেল সঁইপা গেল জল্লাদেরই হাতে রে তারা মোদের খুন কইরাছে নানান অজুহাতে রে, লক্ষ তরুণ হাসি হাসি খাইছে গুলি পরছে ফাঁসি তবু না দুঃখিনী বাংলা তোমার আমার কারো হয়।।",2
Abdul Latif,song1,"দাম দিয়াছি ৭১এ পঁচিশা মার্চ রাতে রে সর্বহারা করছে আমায় পশ্চিমা ডাকাতে রে, বাপের সামনে বলুক তো ঝুট, মেয়ের ইজ্জত হয় নি কি লুট? দুঃখে বাংলার পদ্মা-মেঘনা-যমুনা জে উজান বয়।।",2
Abdul Latif,song1,"দাম দিয়াছি মায়ের অশ্রু, বোনের সম্ভ্রম রে বলতে কি কেউ পারো তোমরা, সে দাম কারো কম রে? কত কূলের কূলাঙ্গনা নাম নিয়াছে বীরাঙ্গনা আজো বাংলার আকাশ বাতাস তারই শোকে উদাস হয়।।",2
Abdul Latif,song2,চুল ধইরো না খোঁপা খুলে যাবে যে নাগর ।। আওলা কেশে পাগল বেশে কেমনে যাবো ঘর ।। চুল ধইরো না খোঁপা খুলে যাবে যে নাগর।।,1
